Giuseppe Aldrovandini;['italian baroque']
Roza Eskenazi;['rebetiko']
Johannes Driessler;['austro-german modernism']
Hilde Heltberg;['classic norwegian pop']
Peter Lange-Müller;['danish classical']
Giannina Russ;['italian soprano', 'vintage classical singing']
Koos du Plessis;['african rock', 'afrikaans']
Conrado del Campo;['classical']
Cloe Elmo;['italian mezzo-soprano']
Radha Jayalakshmi;['carnatic', 'carnatic vocal', 'indian classical']
Reinald Werrenrath;['vaudeville']
Donald Kachamba;['malawian pop']
June Valli;['deep adult standards']
Lionel Long;['bush ballad']
Ada Falcón;['tango', 'tango cancion', 'vintage tango']
Dolores Duran;['samba', 'velha guarda']
Peter Kiesewetter;['german contemporary classical']
Kate Lee;['korean classical performance', 'korean classical piano']
Charles Remue;['jazz clarinet']
Sergio Vega;['banda', 'corrido', 'nuevo regional mexicano', 'regional mexican']
Noro Morales;['latin jazz', 'mambo']
Boots Randolph;['nashville sound']
R. D. Burman;['chutney', 'classic bollywood', 'filmi', 'ghazal', 'modern bollywood', 'sufi']
Sue Draheim;['celtic rock']
Sammy Fain;['tin pan alley']
Shelton Brooks;['tin pan alley']
William Ludwig;['classical bassoon']
Clara Ward;['gospel singers', 'praise']
Line Monty;['algerian folk']
Michael Cohen;['kirtan']
Howard New;['soundtrack']
Arun Thapa;['classic nepali pop', 'nepali pop']
Albert Fuller;['harpsichord']
Arnold Walter;['vintage radio show']
Hisarlı Ahmet;['baglama', 'turkish folk']
Viksta-Lasse;['swedish fiddle']
Tom King;['chicago house', 'deep house', 'disco house', 'garage house', 'house', 'vocal house']
Ervin Drake;['tin pan alley']
Mike Bernard;['ragtime']
Jim Jones;['gangster rap', 'harlem hip hop', 'hip hop', 'pop rap', 'rap', 'trap']
Pance Pondaag;['classic indo pop', 'dangdut']
Glen Sherley;['oklahoma country']
Viro the Virus;['philly rap', 'underground rap']
Kenny Roberts;['classic australian country', 'yodeling']
Tito Torbellino;['corrido', 'deep regional mexican', 'nuevo regional mexicano', 'regional mexican']
Jimmy Brown;['chill r&b']
Robert Long;['ballet class']
Edna Gallmon Cooke;['gospel singers', 'praise']
Zim Ngqawana;['south african jazz']
Louis Nelson;['jazz trombone', 'new orleans jazz']
Benny Morton;['jazz trombone']
Ian Powrie;['scottish fiddle', 'traditional scottish folk']
Paul Taffanel;['french romanticism', 'late romantic era']
Snakefinger;['experimental', 'zolo']
Gerónimo Giménez;['operetta']
Mimoun El Oujdi;['rai', 'rif']
Babe Stovall;['delta blues']
Kate Smith;['torch song']
Eddie Miller;['new orleans jazz']
Billy Bauer;['jazz guitar']
Johann Christoph Altnickol;['galante era', 'german baroque']
Alfred Prinz;['classical clarinet']
Malcolm McEachern;['music hall']
John Sebastian;['folk', 'folk rock', 'traditional folk', 'yacht rock']
Hanne Haller;['classic schlager', 'schlager', 'volksmusik']
Timothy Wright;['contemporary gospel', 'gospel']
Steve Marcus;['jazz saxophone']
Mack Self;['arkansas country']
David Rose;['easy listening', 'space age pop']
Bob Howard;['vintage swing']
Richard Barth;['german romanticism']
Labh Janjua;['filmi', 'modern bollywood', 'sufi']
Rocío Jurado;['cancion melodica', 'copla']
Camille Decreus;['french romanticism']
Vinayakrao Patwardhan;['hindustani vocal', 'indian classical']
Ngọc Lan;['vietnamese pop']
Benny Neyman;['carnaval limburg', 'classic belgian pop', 'dutch pop', 'levenslied', 'nederpop']
T-Model Ford;['blues', 'punk blues', 'traditional blues']
Jovdat Hajiyev;['caucasian classical']
Bobby Jaspar;['belgian jazz']
Leon Payne;['bakersfield sound', 'honky tonk']
Samfree;['anime rock', 'vocaloid']
Gilbert Vinter;['library music']
Dieter Klöcker;['classical clarinet']
John Lennon;['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']
Lucia Dlugoszewski;['prepared piano']
Malcolm Yelvington;['honky tonk', 'rockabilly', 'traditional rockabilly']
Marek Weber;['vintage schlager']
Carlo Francesco Pollarolo;['italian opera']
Yvonne Fair;['classic soul', 'motown']
Richard Anthony;['chanson', 'ye ye']
Corrado Lojacono;['vintage italian pop']
John Ashley;['antiviral pop', 'comic', 'otacore']
Cesare Valletti;['classical tenor', 'italian tenor']
Joseíto Fernández;['musica tradicional cubana', 'son cubano clasico']
Fred Panopio;['classic opm', 'manila sound']
Gina Cigna;['italian soprano']
Ernesto Tamayo;['classical guitar']
Said Rustamov;['caucasian classical']
Noel Harrison;['classic uk pop']
Erling Kroner;['danish jazz', 'faroese jazz']
Roy Chicago;['highlife']
Arthur Loesser;['historic piano performance']
Buzz Busby;['appalachian folk']
System Tazvida;['sungura']
Frank Melrose;['barrelhouse piano', 'boogie-woogie']
Charles Hackett;['vintage classical singing']
Myriam Marbe;['romanian contemporary classical']
Jacques Aubert;['baroque', 'french baroque']
Eva Knardahl;['nordic classical piano']
Fiorenzo Carpi;['vintage italian soundtrack']
Mykola Kolessa;['ukrainian classical']
Gene Conners;['jazz trombone']
Alcide Pavageau;['jazz double bass']
Roberto Ciotti;['italian blues']
Will Atkinson;['progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']
Juanito Valderrama;['cante flamenco', 'copla', 'flamenco', 'rumba']
Carlo Buti;['canzone napoletana', 'vintage italian pop']
Brian Brown;['nashville hip hop']
Javier Krahe;['cantautor', 'nueva cancion']
Dany Dauberson;['classic eurovision']
Ric Segreto;['classic opm', 'opm']
Waldemar Kmentt;['classical tenor']
Paul Kuhn;['classic schlager', 'vintage schlager']
Charlemagne;['kompa']
Maurice Chevalier;['cabaret', 'vintage hollywood']
John Bishop;['british comedy']
John Kirkpatrick;['british folk', 'traditional british folk']
Luther Vandross;['funk', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']
Bill Le Sage;['jazz vibraphone', 'library music']
Ilva Ligabue;['italian soprano']
Major Holley;['jazz double bass']
K. Frimpong;['afro psych', 'highlife']
George Elrick;['bothy ballad']
Domna Samiou;['greek folk']
Francesco Antonio Pistocchi;['italian baroque']
Jagdish Prasad;['hindustani vocal', 'indian classical']
Martin Slavin;['theme']
Pantelis Pantelidis;['greek pop']
Maria Capuana;['italian mezzo-soprano']
Smoky Babe;['louisiana blues']
Giuseppe Antonio Brescianello;['baroque', 'italian baroque']
Eduard Erdmann;['austro-german modernism', 'historic piano performance']
Ronnie Aldrich;['ballroom', 'easy listening', 'lounge']
Colette Deréal;['classic eurovision']
Blair Fairchild;['american modern classical', 'american romanticism']
Murray Adaskin;['canadian classical']
Gene Allison;['deep southern soul']
Kabban Mirza;['classic bollywood', 'ghazal']
Georg Kulenkampff;['historic classical performance']
Sara Martin;['late romantic era', 'violin']
Marv Johnson;['motown', 'rhythm and blues']
Otto Funk;['italian jazz fusion', 'modern funk']
Lindley Evans;['australian classical', 'australian classical piano']
Charles Mann;['swamp pop']
Giuseppe Taddei;['classical baritone', 'italian baritone', 'italian bass', 'opera']
Francisco Escudero;['early modern classical']
Leopold Jansa;['czech classical']
Irving Aaronson;['dixieland']
John Gary;['adult standards', 'easy listening', 'lounge']
Nikos Papazoglou;['classic greek pop', 'entehno', 'greek pop', 'laiko', 'rebetiko']
Axel Gade;['danish classical']
Gilda Mignonette;['canzone napoletana']
Andrea Parodi;['italian folk', 'musica sarda']
Wendy Rene;['memphis soul', 'southern soul']
Elizabeth Connell;['classical soprano']
Guiomar Novaes;['brazilian classical piano', 'historic piano performance']
Kelly Harrell;['appalachian folk', 'vintage country folk']
Géza Frid;['hungarian classical piano']
Elisabeth Höngen;['classical mezzo-soprano']
Daniel Deffayet;['classical saxophone']
Lex van Delden;['dutch contemporary classical']
Sun-sun;['alternative dance', 'australian dance', 'australian electropop', 'dance-punk', 'electropop', 'indietronica', 'neo-synthpop', 'new rave']
Lil' Chris;['chicago rap']
Ted Buckner;['jazz trumpet']
Mino Reitano;['canzone napoletana', 'classic italian folk pop', 'classic italian pop', 'musica calabrese']
Amparo Ochoa;['cantautor', 'mexican son', 'musica yucateca', 'nueva cancion', 'trova']
Rudy Lyle;['banjo']
Val Valentin;['banda', 'corrido', 'norteno', 'nuevo regional mexicano', 'regional mexican']
Hank Penny;['cowboy western', 'western swing']
Charley Patton;['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'pre-war blues', 'traditional blues', 'traditional folk']
Sergej Larin;['classical tenor']
Juan Carlos Paz;['latin classical']
Clarence Wijewardena;['classic sinhala pop', 'sinhala pop']
Youra Guller;['historic piano performance']
Marius Müller;['classic norwegian pop', 'norwegian rock']
Alexandra;['bachata', 'bachata dominicana', 'latin', 'tropical']
Matt McGinn;['scottish folk']
Carolina Cotton;['cowboy western', 'yodeling']
Ferdinand Frantz;['classical bass']
Georg Rhau;['german renaissance']
Milton Cardona;['afro-cuban traditional']
Gino Vanelli;['italian baritone']
Yolanda Brown;['jazz saxophone']
Seán Ó Riada;['irish classical', 'irish folk', 'jig and reel']
Aram Tigran;['kurdish folk', 'kurdish pop']
Armando;['bolero', 'cancion melodica', 'latin', 'latin pop', 'musica yucateca', 'velha guarda']
Edwin Carr;['new zealand classical']
Georg Österreich;['german baroque']
Al Singer;['american folk revival', 'traditional folk']
Wally Tax;['nederpop']
Duilio Del Prete;["canzone d'autore"]
Jane Green;['vintage jazz']
Linda McCartney;['classic uk pop']
Ankaralı Namık;['arabesk', 'oyun havasi']
Marguerite Monnot;['broadway']
Terence MacDonagh;['classical oboe']
Will Glahé;['vintage schlager']
Stephen Bruton;['austin americana']
Thomas Hemsley;['classical baritone']
Ernesto De Curtis;['canzone napoletana']
Gene Eugene;['canadian ccm', 'deep christian rock']
Dirtsman;['old school dancehall']
Jon Lucien;['jazz funk']
Lothar Koch;['classical oboe']
Peter Anders;['classical tenor']
Theodore Bikel;['klezmer', 'russian folk']
Jack Hylton;['big band', 'british dance band', 'vintage jazz']
Osvaldo Fresedo;['orquesta tipica', 'tango', 'vintage tango']
Buck Griffin;['rockabilly']
Nellie Wallace;['music hall']
John Baker;['acousmatic', 'hauntology', 'theme']
Antoni Stolpe;['polish classical']
Walter Donaldson;['tin pan alley']
Hans Hopf;['classical tenor']
Sándor Kónya;['classical tenor']
John Hawkins;['traditional soul']
Lu Watters;['ragtime']
Odoardo Spadaro;['vintage italian pop']
Birgit Kronström;['sotalaulut']
Péter Máté;['classic hungarian pop']
Risë Stevens;['classical mezzo-soprano']
Manos Loïzos;['bouzouki', 'laiko', 'rebetiko']
Mel Taylor;['blues', 'electric blues', 'modern blues']
Andrea Zani;['baroque', 'italian baroque']
John Arpin;['canadian classical piano']
Mario Schiano;['jazz saxophone']
Joe Medwick;['deep southern soul']
Marty Gold;['moog', 'space age pop']
Giuseppe Anselmi;['italian tenor', 'vintage classical singing']
Susan Allen;['latin christian']
Brendan O'Dowda;['irish ballad']
Paddy Canny;['irish fiddle', 'jig and reel']
Ferdinand Weiss;['romanian classical piano']
Hugo Staehle;['german romanticism']
Billy Bean;['jazz guitar']
Cemil Bey;['turkish classical']
Zeke Clements;['cowboy western']
Carlo Tagliabue;['italian baritone']
Clarence Whitehill;['vintage classical singing']
Alain Vanzo;['classical tenor']
Richard Eilenberg;['german romanticism']
Mafalda Salvatini;['italian soprano']
Petronio Franceschini;['baroque']
Hilo Hattie;['vintage hawaiian']
Alan Rowlands;['british classical piano']
Komitas;['caucasian classical', 'oriental classical']
Mike Waterson;['traditional british folk', 'yorkshire folk']
Al Alberts;['australian pop', 'australian singer-songwriter', 'folk-pop', 'indie anthem-folk']
Alam Lohar;['pakistani folk', 'sufi']
Ralph Mooney;['oklahoma country']
Víctor Yturbe;['bolero', 'bolero mexicano']
Ruggiero Ricci;['violin']
Monguito;['latin jazz', 'salsa international']
Dumisani Maraire;['mbira', 'zim urban groove']
Harry Babasin;['jazz double bass']
Emilio Pericoli;['swing italiano']
Curtis Gordon;['rockabilly', 'traditional rockabilly']
Luis Alberto del Paraná;['arpa paraguaya', 'folklore paraguayo', 'polca paraguaya']
Milly;['reggaeton flow', 'trap latino']
Flemming Jørgensen;['classic danish pop', 'dansktop']
Paolo Silveri;['italian baritone']
Rosa Balistreri;['folk siciliana', 'italian folk']
Kennedy Jones;['electronic trap']
Graziella Pareto;['vintage classical singing']
Butch Moore;['classic eurovision']
Camillo Cortellini;['madrigal']
Surjit Bindrakhia;['bhangra', 'classic bhangra', 'desi hip hop', 'desi pop']
Dimitri Fampas;['greek guitar']
Graham Collier;['british jazz']
Hetty Blok;['dutch cabaret', 'muziek voor kinderen', 'vintage dutch pop']
Rusty Wier;['texas country']
Johnny Otis;['jazz blues', 'jump blues', 'rhythm and blues', 'rock-and-roll']
Elisabeth Schwarzkopf;['classical performance', 'classical soprano', 'opera']
Salem Allan;['middle eastern traditional']
Josephine Lang;['german romanticism', 'late romantic era']
Jon Vickers;['classical tenor', 'opera']
Rodion Azarkhin;['contrabass']
Keith Hudson;['dub', 'reggae', 'roots reggae']
Zara Nelsova;['cello', 'classical cello', 'historic classical performance']
Arthur Coquard;['french opera']
Clifford Thornton;['deep free jazz', 'free jazz']
Richard Egües;['orquesta tropical']
Onie Wheeler;['rockabilly', 'traditional rockabilly']
Heinrich Bach;['baroque', 'german baroque']
John Powell;['british soundtrack', 'scorecore', 'soundtrack']
Richard Holm;['instrumental soul', 'jazz funk', 'jazz organ', 'soul jazz']
Arthur Fiedler;['adult standards', 'easy listening']
Francesco Uttini;['galante era']
Charles King;['folk-pop', 'shimmer pop']
Jeremias Nguenha;['musica mocambicana']
Freddy Breck;['classic schlager', 'nederpop', 'volksmusik']
Ludvig Norman;['swedish classical']
Don Grolnick;['jazz piano']
Sam Woodyard;['jazz drums']
Jean Carignan;['folklore quebecois']
Lou Perez;['latin jazz', 'salsa international']
Alex Konadu;['highlife']
Sieglinde Wagner;['classical contralto']
Scipione Dentice;['italian renaissance']
Geeta Dutt;['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'sufi']
Esmeray;['classic turkish pop', 'turkish psych']
Edward Fisher;['british classical piano']
Ella Fitzgerald;['adult standards', 'jazz blues', 'swing', 'vocal jazz']
Dalida;['chanson', 'french pop']
Giuseppe Nessi;['italian tenor']
Christian Falk;['swedish electropop', 'swedish soul']
Michael Head;['chamber psych']
Louis Moreau Gottschalk;['american romanticism']
Florencio Constantino;['vintage classical singing']
Pietro Generali;['early romantic era']
Julius Wechter;['space age pop']
Ljiljana Buttler;['sevdah']
Charles A. Prince;['synth funk']
Noah Howard;['free improvisation', 'new orleans jazz']
Chuck Wagon;['bluegrass gospel', 'country gospel', 'southern gospel']
Brunhilde Sonntag;['german contemporary classical']
Harcharan Garewal;['punjabi folk']
Big Maceo Merriweather;['barrelhouse piano', 'chicago blues', 'piano blues', 'traditional blues']
Johann Friedrich Doles;['galante era']
Stephen Gately;['bubblegum dance']
Arleen Auger;['classical soprano', 'opera']
Paul Burwell;['british experimental']
Bridie Gallagher;['irish country']
